,has_null,wave,gender,age,age_o,d_age,d_d_age,race,race_o,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,decision,decision_o,match
1736,0,5,female,21.0,22.0,1,[0-1],european/caucasian-american,other,0,8.0,1.0,[6-10],[0-1],psychology and english,40.0,15.0,10.0,20.0,5.0,10.0,[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],6.0,9.0,8.0,7.0,6.0,6.0,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],35.0,15.0,5.0,30.0,15.0,0.0,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],2.0,9.0,9.0,7.0,9.0,[0-5],[9-10],[9-10],[6-8],[9-10],8.0,10.0,10.0,7.0,7.0,8.0,[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],2.0,2.0,6.0,10.0,6.0,10.0,6.0,4.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,[0-5],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],0.04,[0-0.33],2.0,0.0,2.0,[0-4],[0-3],[0-2],9.0,1.0,[9-10],[0-4],0.0,1,0,0
1737,0,5,female,21.0,18.0,3,[2-3],european/caucasian-american,asian/pacific islander/asian-american,0,8.0,1.0,[6-10],[0-1],psychology and english,50.0,10.0,20.0,5.0,5.0,10.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],5.0,4.0,5.0,4.0,5.0,4.0,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],35.0,15.0,5.0,30.0,15.0,0.0,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],2.0,9.0,9.0,7.0,9.0,[0-5],[9-10],[9-10],[6-8],[9-10],9.0,10.0,7.0,5.0,10.0,9.0,[9-10],[9-10],[6-8],[0-5],[9-10],[9-10],2.0,2.0,6.0,10.0,6.0,10.0,6.0,4.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,[0-5],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],-0.28,[-1-0],2.0,0.0,2.0,[0-4],[0-3],[0-2],9.0,1.0,[9-10],[0-4],0.0,1,0,0
1738,0,5,female,21.0,22.0,1,[0-1],european/caucasian-american,asian/pacific islander/asian-american,0,8.0,1.0,[6-10],[0-1],psychology and english,40.0,10.0,10.0,10.0,10.0,20.0,[21-100],[0-15],[0-15],[0-15],[0-15],[16-20],2.0,7.0,9.0,6.0,7.0,7.0,[0-5],[6-8],[9-10],[6-8],[6-8],[6-8],35.0,15.0,5.0,30.0,15.0,0.0,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],2.0,9.0,9.0,7.0,9.0,[0-5],[9-10],[9-10],[6-8],[9-10],4.0,6.0,7.0,6.0,6.0,1.0,[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],2.0,2.0,6.0,10.0,6.0,10.0,6.0,4.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,[0-5],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],0.83,[0.33-1],2.0,0.0,2.0,[0-4],[0-3],[0-2],5.0,10.0,[0-5],[7-10],0.0,0,1,0
1739,0,5,female,21.0,21.0,0,[0-1],european/caucasian-american,european/caucasian-american,1,8.0,1.0,[6-10],[0-1],psychology and english,20.0,15.0,20.0,15.0,12.0,18.0,[16-20],[0-15],[16-20],[0-15],[0-15],[16-20],4.0,6.0,6.0,5.0,4.0,2.0,[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],35.0,15.0,5.0,30.0,15.0,0.0,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],2.0,9.0,9.0,7.0,9.0,[0-5],[9-10],[9-10],[6-8],[9-10],6.0,10.0,10.0,8.0,8.0,4.0,[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],2.0,2.0,6.0,10.0,6.0,10.0,6.0,4.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,[0-5],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],0.72,[0.33-1],2.0,0.0,2.0,[0-4],[0-3],[0-2],8.0,1.0,[6-8],[0-4],0.0,1,0,0
1740,0,5,female,21.0,22.0,1,[0-1],european/caucasian-american,european/caucasian-american,1,8.0,1.0,[6-10],[0-1],psychology and english,25.0,40.0,15.0,10.0,5.0,5.0,[21-100],[21-100],[0-15],[0-15],[0-15],[0-15],4.0,8.0,7.0,6.0,6.0,5.0,[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],35.0,15.0,5.0,30.0,15.0,0.0,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],2.0,9.0,9.0,7.0,9.0,[0-5],[9-10],[9-10],[6-8],[9-10],8.0,7.0,10.0,7.0,10.0,9.0,[6-8],[6-8],[9-10],[6-8],[9-10],[9-10],2.0,2.0,6.0,10.0,6.0,10.0,6.0,4.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,[0-5],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],0.14,[0-0.33],2.0,0.0,2.0,[0-4],[0-3],[0-2],9.0,1.0,[9-10],[0-4],0.0,1,0,0
1741,0,5,female,21.0,22.0,1,[0-1],european/caucasian-american,european/caucasian-american,1,8.0,1.0,[6-10],[0-1],psychology and english,25.0,25.0,25.0,15.0,5.0,5.0,[21-100],[21-100],[21-100],[0-15],[0-15],[0-15],5.0,8.0,7.0,0.0,5.0,0.0,[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],35.0,15.0,5.0,30.0,15.0,0.0,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],2.0,9.0,9.0,7.0,9.0,[0-5],[9-10],[9-10],[6-8],[9-10],4.0,4.0,2.0,1.0,1.0,1.0,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],2.0,2.0,6.0,10.0,6.0,10.0,6.0,4.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,[0-5],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],-0.36,[-1-0],2.0,0.0,2.0,[0-4],[0-3],[0-2],1.0,1.0,[0-5],[0-4],0.0,0,0,0
1742,0,5,female,21.0,21.0,0,[0-1],european/caucasian-american,european/caucasian-american,1,8.0,1.0,[6-10],[0-1],psychology and english,40.0,15.0,10.0,20.0,10.0,5.0,[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],6.0,9.0,7.0,7.0,8.0,7.0,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],35.0,15.0,5.0,30.0,15.0,0.0,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],2.0,9.0,9.0,7.0,9.0,[0-5],[9-10],[9-10],[6-8],[9-10],9.0,10.0,10.0,5.0,7.0,4.0,[9-10],[9-10],[9-10],[0-5],[6-8],[0-5],2.0,2.0,6.0,10.0,6.0,10.0,6.0,4.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,[0-5],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],-0.15,[-1-0],2.0,0.0,2.0,[0-4],[0-3],[0-2],9.0,1.0,[9-10],[0-4],0.0,1,0,0
1745,0,5,female,21.0,19.0,2,[2-3],european/caucasian-american,asian/pacific islander/asian-american,0,8.0,1.0,[6-10],[0-1],psychology and english,25.0,10.0,20.0,20.0,10.0,15.0,[21-100],[0-15],[16-20],[16-20],[0-15],[0-15],7.0,5.0,10.0,6.0,7.0,2.0,[6-8],[0-5],[9-10],[6-8],[6-8],[0-5],35.0,15.0,5.0,30.0,15.0,0.0,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],2.0,9.0,9.0,7.0,9.0,[0-5],[9-10],[9-10],[6-8],[9-10],7.0,10.0,10.0,8.0,10.0,1.0,[6-8],[9-10],[9-10],[6-8],[9-10],[0-5],2.0,2.0,6.0,10.0,6.0,10.0,6.0,4.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,[0-5],[0-5],[6-8],[9-10],[6-8],[9-10],[6-8],[0-5],[6-8],[6-8],[6-8],[9-10],[9-10],[9-10],[9-10],[9-10],[0-5],0.52,[0.33-1],2.0,0.0,2.0,[0-4],[0-3],[0-2],9.0,1.0,[9-10],[0-4],0.0,1,0,0
1746,0,5,male,22.0,20.0,2,[2-3],other,other,1,1.0,1.0,[0-1],[0-1],law,15.0,15.0,20.0,25.0,10.0,15.0,[0-15],[0-15],[16-20],[21-100],[0-15],[0-15],7.0,7.0,7.0,9.0,7.0,8.0,[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],40.0,15.0,10.0,20.0,5.0,10.0,[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],7.0,10.0,8.0,8.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],9.0,9.0,9.0,9.0,9.0,9.0,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],-0.29,[-1-0],6.0,10.0,4.0,[5-6],[10-20],[3-5],9.0,7.0,[9-10],[7-10],0.0,1,1,1
1747,0,5,male,22.0,21.0,1,[0-1],other,european/caucasian-american,0,1.0,1.0,[0-1],[0-1],law,15.0,15.0,25.0,25.0,15.0,5.0,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],8.0,10.0,9.0,10.0,5.0,5.0,[6-8],[9-10],[9-10],[9-10],[0-5],[0-5],40.0,15.0,10.0,20.0,5.0,10.0,[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],7.0,10.0,8.0,8.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],10.0,10.0,10.0,10.0,10.0,10.0,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],0.08,[0-0.33],6.0,10.0,4.0,[5-6],[10-20],[3-5],10.0,1.0,[9-10],[0-4],1.0,0,1,0
1748,0,5,male,22.0,20.0,2,[2-3],other,black/african american,0,1.0,1.0,[0-1],[0-1],law,20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],7.0,6.0,6.0,7.0,4.0,4.0,[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],40.0,15.0,10.0,20.0,5.0,10.0,[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],7.0,10.0,8.0,8.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],6.0,10.0,7.0,7.0,7.0,7.0,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],0.48,[0.33-1],6.0,10.0,4.0,[5-6],[10-20],[3-5],8.0,4.0,[6-8],[0-4],0.0,0,1,0
1749,0,5,male,22.0,21.0,1,[0-1],other,european/caucasian-american,0,1.0,1.0,[0-1],[0-1],law,20.0,10.0,30.0,20.0,15.0,5.0,[16-20],[0-15],[21-100],[16-20],[0-15],[0-15],10.0,10.0,10.0,10.0,10.0,10.0,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],40.0,15.0,10.0,20.0,5.0,10.0,[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],7.0,10.0,8.0,8.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],10.0,10.0,10.0,10.0,10.0,10.0,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],-0.05,[-1-0],6.0,10.0,4.0,[5-6],[10-20],[3-5],10.0,1.0,[9-10],[0-4],1.0,0,0,0
1750,0,5,male,22.0,21.0,1,[0-1],other,european/caucasian-american,0,1.0,1.0,[0-1],[0-1],law,15.0,15.0,25.0,25.0,20.0,0.0,[0-15],[0-15],[21-100],[21-100],[16-20],[0-15],10.0,10.0,10.0,10.0,10.0,10.0,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],40.0,15.0,10.0,20.0,5.0,10.0,[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],7.0,10.0,8.0,8.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],10.0,10.0,10.0,10.0,10.0,10.0,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],0.08,[0-0.33],6.0,10.0,4.0,[5-6],[10-20],[3-5],10.0,10.0,[9-10],[7-10],1.0,1,1,1
1751,0,5,male,22.0,21.0,1,[0-1],other,european/caucasian-american,0,1.0,1.0,[0-1],[0-1],law,20.0,10.0,20.0,20.0,20.0,10.0,[16-20],[0-15],[16-20],[16-20],[16-20],[0-15],10.0,10.0,10.0,10.0,10.0,10.0,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],40.0,15.0,10.0,20.0,5.0,10.0,[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],7.0,10.0,8.0,8.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],10.0,10.0,10.0,10.0,10.0,10.0,[9-10],[9-10],[9-10],[9-10],[9-10],[9-10],7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],0.12,[0-0.33],6.0,10.0,4.0,[5-6],[10-20],[3-5],10.0,1.0,[9-10],[0-4],1.0,0,1,0
1753,0,5,male,22.0,20.0,2,[2-3],other,latino/hispanic american,0,1.0,1.0,[0-1],[0-1],law,10.0,10.0,35.0,35.0,8.0,2.0,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],7.0,8.0,7.0,8.0,8.0,5.0,[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],40.0,15.0,10.0,20.0,5.0,10.0,[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],7.0,10.0,8.0,8.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],6.0,7.0,7.0,7.0,7.0,7.0,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],0.4,[0.33-1],6.0,10.0,4.0,[5-6],[10-20],[3-5],8.0,9.0,[6-8],[7-10],0.0,1,1,1
1754,0,5,male,22.0,21.0,1,[0-1],other,european/caucasian-american,0,1.0,1.0,[0-1],[0-1],law,35.0,15.0,5.0,30.0,15.0,0.0,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],8.0,10.0,10.0,7.0,7.0,8.0,[6-8],[9-10],[9-10],[6-8],[6-8],[6-8],40.0,15.0,10.0,20.0,5.0,10.0,[21-100],[0-15],[0-15],[16-20],[0-15],[0-15],7.0,10.0,8.0,8.0,8.0,[6-8],[9-10],[6-8],[6-8],[6-8],6.0,9.0,8.0,7.0,6.0,6.0,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,[6-8],[9-10],[6-8],[9-10],[6-8],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],0.04,[0-0.33],6.0,10.0,4.0,[5-6],[10-20],[3-5],7.0,7.0,[6-8],[7-10],0.0,0,1,0
1756,0,5,male,18.0,20.0,2,[2-3],asian/pacific islander/asian-american,other,0,3.0,5.0,[2-5],[2-5],biomedical engineering,15.0,15.0,20.0,25.0,10.0,15.0,[0-15],[0-15],[16-20],[21-100],[0-15],[0-15],4.0,8.0,7.0,4.0,9.0,3.0,[0-5],[6-8],[6-8],[0-5],[9-10],[0-5],50.0,10.0,20.0,5.0,5.0,10.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8.0,7.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],9.0,7.0,7.0,6.0,4.0,5.0,[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],9.0,9.0,8.0,8.0,3.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],-0.37,[-1-0],5.0,1.0,0.0,[5-6],[0-3],[0-2],8.0,2.0,[6-8],[0-4],0.0,1,0,0
1757,0,5,male,18.0,21.0,3,[2-3],asian/pacific islander/asian-american,european/caucasian-american,0,3.0,5.0,[2-5],[2-5],biomedical engineering,15.0,15.0,25.0,25.0,15.0,5.0,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],5.0,9.0,6.0,5.0,5.0,2.0,[0-5],[9-10],[6-8],[0-5],[0-5],[0-5],50.0,10.0,20.0,5.0,5.0,10.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8.0,7.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],6.0,5.0,5.0,4.0,4.0,5.0,[6-8],[0-5],[0-5],[0-5],[0-5],[0-5],9.0,9.0,8.0,8.0,3.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],-0.22,[-1-0],5.0,1.0,0.0,[5-6],[0-3],[0-2],4.0,2.0,[0-5],[0-4],0.0,0,0,0
1758,0,5,male,18.0,20.0,2,[2-3],asian/pacific islander/asian-american,black/african american,0,3.0,5.0,[2-5],[2-5],biomedical engineering,20.0,20.0,20.0,20.0,10.0,10.0,[16-20],[16-20],[16-20],[16-20],[0-15],[0-15],8.0,7.0,6.0,6.0,5.0,4.0,[6-8],[6-8],[6-8],[6-8],[0-5],[0-5],50.0,10.0,20.0,5.0,5.0,10.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8.0,7.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],4.0,6.0,6.0,5.0,4.0,5.0,[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],9.0,9.0,8.0,8.0,3.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],0.13,[0-0.33],5.0,1.0,0.0,[5-6],[0-3],[0-2],4.0,1.0,[0-5],[0-4],0.0,0,1,0
1759,0,5,male,18.0,21.0,3,[2-3],asian/pacific islander/asian-american,european/caucasian-american,0,3.0,5.0,[2-5],[2-5],biomedical engineering,20.0,10.0,30.0,20.0,15.0,5.0,[16-20],[0-15],[21-100],[16-20],[0-15],[0-15],6.0,10.0,10.0,7.0,6.0,5.0,[6-8],[9-10],[9-10],[6-8],[6-8],[0-5],50.0,10.0,20.0,5.0,5.0,10.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8.0,7.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],4.0,5.0,4.0,4.0,5.0,4.0,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],9.0,9.0,8.0,8.0,3.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],0.07,[0-0.33],5.0,1.0,0.0,[5-6],[0-3],[0-2],4.0,2.0,[0-5],[0-4],0.0,0,0,0
1760,0,5,male,18.0,21.0,3,[2-3],asian/pacific islander/asian-american,european/caucasian-american,0,3.0,5.0,[2-5],[2-5],biomedical engineering,15.0,15.0,25.0,25.0,20.0,0.0,[0-15],[0-15],[21-100],[21-100],[16-20],[0-15],7.0,10.0,8.0,8.0,8.0,6.0,[6-8],[9-10],[6-8],[6-8],[6-8],[6-8],50.0,10.0,20.0,5.0,5.0,10.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8.0,7.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],6.0,5.0,5.0,4.0,4.0,6.0,[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],9.0,9.0,8.0,8.0,3.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],-0.41,[-1-0],5.0,1.0,0.0,[5-6],[0-3],[0-2],4.0,2.0,[0-5],[0-4],0.0,0,1,0
1761,0,5,male,18.0,21.0,3,[2-3],asian/pacific islander/asian-american,european/caucasian-american,0,3.0,5.0,[2-5],[2-5],biomedical engineering,20.0,10.0,20.0,20.0,20.0,10.0,[16-20],[0-15],[16-20],[16-20],[16-20],[0-15],7.0,10.0,8.0,7.0,8.0,4.0,[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],50.0,10.0,20.0,5.0,5.0,10.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8.0,7.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],6.0,6.0,5.0,6.0,5.0,6.0,[6-8],[6-8],[0-5],[6-8],[0-5],[6-8],9.0,9.0,8.0,8.0,3.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],0.05,[0-0.33],5.0,1.0,0.0,[5-6],[0-3],[0-2],6.0,2.0,[6-8],[0-4],0.0,0,0,0
1763,0,5,male,18.0,20.0,2,[2-3],asian/pacific islander/asian-american,latino/hispanic american,0,3.0,5.0,[2-5],[2-5],biomedical engineering,10.0,10.0,35.0,35.0,8.0,2.0,[0-15],[0-15],[21-100],[21-100],[0-15],[0-15],5.0,8.0,6.0,2.0,2.0,2.0,[0-5],[6-8],[6-8],[0-5],[0-5],[0-5],50.0,10.0,20.0,5.0,5.0,10.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8.0,7.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],9.0,6.0,8.0,5.0,7.0,4.0,[9-10],[6-8],[6-8],[0-5],[6-8],[0-5],9.0,9.0,8.0,8.0,3.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],-0.31,[-1-0],5.0,1.0,0.0,[5-6],[0-3],[0-2],5.0,8.0,[0-5],[7-10],1.0,0,0,0
1764,0,5,male,18.0,21.0,3,[2-3],asian/pacific islander/asian-american,european/caucasian-american,0,3.0,5.0,[2-5],[2-5],biomedical engineering,35.0,15.0,5.0,30.0,15.0,0.0,[21-100],[0-15],[0-15],[21-100],[0-15],[0-15],9.0,10.0,7.0,5.0,10.0,9.0,[9-10],[9-10],[6-8],[0-5],[9-10],[9-10],50.0,10.0,20.0,5.0,5.0,10.0,[21-100],[0-15],[16-20],[0-15],[0-15],[0-15],8.0,7.0,7.0,7.0,8.0,[6-8],[6-8],[6-8],[6-8],[6-8],5.0,4.0,5.0,4.0,5.0,4.0,[0-5],[0-5],[0-5],[0-5],[0-5],[0-5],9.0,9.0,8.0,8.0,3.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,[9-10],[9-10],[6-8],[6-8],[0-5],[0-5],[0-5],[0-5],[6-8],[0-5],[6-8],[0-5],[6-8],[6-8],[6-8],[6-8],[0-5],-0.28,[-1-0],5.0,1.0,0.0,[5-6],[0-3],[0-2],3.0,1.0,[0-5],[0-4],0.0,0,1,0
